#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	-20.21, 14.39, -6.71 	-0.11, 1.80, -6.79 	0.00, 10.00 	14,49,3,685		-nan,inf	0,0 	0
0       	-20.21, 14.39, -6.71 	-0.10, 1.79, -6.78 	0.00, 10.00 	14,49,3,685		-nan,inf	0,0 	0
0       	-20.21, 14.39, -6.71 	-0.13, 1.79, -6.78 	0.00, 10.00 	14,49,3,685		-nan,inf	0,0 	0
0       	-20.22, 14.41, -6.71 	-0.11, 1.79, -6.78 	0.00, 10.00 	14,49,3,685		inf,inf	0,0 	0
0       	-20.23, 14.41, -6.71 	-0.10, 1.80, -6.78 	0.00, 10.00 	14,49,3,685		inf,inf	0,0 	0
0       	-20.22, 14.42, -6.71 	-0.10, 1.79, -6.78 	0.00, 10.00 	14,49,3,685		inf,inf	0,0 	0
0       	-20.22, 14.41, -6.71 	-0.10, 1.79, -6.78 	0.00, 10.00 	14,49,3,685		inf,-nan	0,0 	0
0       	-20.22, 14.41, -6.71 	-0.10, 1.79, -6.78 	0.00, 10.00 	14,49,3,686		-nan,-nan	0,0 	0
0       	-20.23, 14.40, -6.71 	-0.10, 1.79, -6.78 	0.00, 10.00 	14,49,3,686		inf,-nan	0,0 	0
0       	-20.21, 14.39, -6.72 	-0.10, 1.81, -6.80 	0.00, 10.00 	14,49,3,686		inf,inf	0,0 	0
0       	-20.21, 14.40, -6.72 	-0.11, 1.81, -6.79 	0.00, 10.00 	14,49,3,686		inf,inf	0,0 	0
0       	-20.21, 14.39, -6.71 	-0.11, 1.81, -6.79 	0.00, 10.00 	14,49,3,686		inf,-nan	0,0 	0
0       	-20.23, 14.40, -6.72 	-0.10, 1.81, -6.78 	0.00, 10.00 	14,49,3,686		inf,inf	0,0 	0
0       	-20.23, 14.40, -6.72 	-0.13, 1.80, -6.79 	0.00, 10.00 	14,49,3,686		-nan,inf	0,0 	0
0       	-20.23, 14.40, -6.72 	-0.15, 1.81, -6.78 	0.00, 10.00 	14,49,3,686		-nan,inf	0,0 	0
0       	-20.23, 14.41, -6.72 	-0.13, 1.82, -6.79 	0.00, 10.00 	14,49,3,686		inf,inf	0,0 	0
