#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	9.46, -6.67, -10.92 	133.58, -265.39, -11.85 	0.00, 10.00 	15,3,48,920		inf,inf	0,0 	0
0       	9.46, -6.67, -10.92 	133.68, -265.57, -11.87 	0.00, 10.00 	15,3,48,920		-nan,inf	0,0 	0
0       	9.48, -6.69, -10.93 	133.48, -265.23, -11.88 	0.00, 10.00 	15,3,48,920		inf,inf	0,0 	0
0       	9.48, -6.68, -10.94 	133.72, -265.68, -11.87 	0.00, 10.00 	15,3,48,920		inf,inf	0,0 	0
0       	9.49, -6.67, -10.95 	133.58, -265.39, -11.88 	0.00, 10.00 	15,3,48,920		inf,inf	0,0 	0
0       	9.50, -6.66, -10.95 	133.95, -266.10, -11.88 	0.00, 10.00 	15,3,48,921		inf,inf	0,0 	0
0       	9.51, -6.64, -10.94 	133.98, -266.19, -11.88 	0.00, 10.00 	15,3,48,921		inf,inf	0,0 	0
0       	9.51, -6.68, -10.93 	134.21, -266.61, -11.88 	0.00, 10.00 	15,3,48,921		inf,inf	0,0 	0
0       	9.50, -6.65, -10.92 	134.21, -266.61, -11.90 	0.00, 10.00 	15,3,48,921		inf,-nan	0,0 	0
0       	9.51, -6.66, -10.93 	134.20, -266.58, -11.90 	0.00, 10.00 	15,3,48,921		inf,inf	0,0 	0
0       	9.46, -6.69, -10.94 	134.22, -266.66, -11.89 	0.00, 10.00 	15,3,48,921		inf,inf	0,0 	0
0       	9.46, -6.71, -10.93 	134.61, -267.40, -11.90 	0.00, 10.00 	15,3,48,921		inf,inf	0,0 	0
0       	9.52, -6.73, -10.94 	134.71, -267.59, -11.92 	0.00, 10.00 	15,3,48,921		inf,inf	0,0 	0
0       	9.53, -6.74, -10.95 	134.36, -266.93, -11.92 	0.00, 10.00 	15,3,48,921		inf,inf	0,0 	0
0       	9.51, -6.70, -10.95 	134.63, -267.49, -11.91 	0.00, 10.00 	15,3,48,921		inf,inf	0,0 	0
0       	9.54, -6.74, -10.96 	134.26, -266.77, -11.92 	0.00, 10.00 	15,3,48,921		inf,inf	0,0 	0
0       	9.61, -6.77, -10.96 	134.87, -267.94, -11.93 	0.00, 10.00 	15,3,48,921		inf,inf	0,0 	0
0       	9.69, -6.78, -10.97 	135.22, -268.57, -11.93 	0.00, 10.00 	15,3,48,921		inf,inf	0,0 	0
0       	9.67, -6.73, -10.97 	135.83, -269.73, -11.95 	0.00, 10.00 	15,3,48,921		inf,inf	0,0 	0
0       	9.63, -6.78, -10.97 	136.11, -270.29, -11.96 	0.00, 10.00 	15,3,48,921		inf,inf	0,0 	0
0       	9.63, -6.81, -10.96 	135.11, -268.39, -11.96 	0.00, 10.00 	15,3,48,921		inf,inf	0,0 	0
0       	9.58, -6.81, -10.96 	135.65, -269.48, -11.92 	0.00, 10.00 	15,3,48,921		inf,inf	0,0 	0
0       	9.58, -6.84, -10.98 	134.68, -267.65, -11.92 	0.00, 10.00 	15,3,48,921		inf,inf	0,0 	0
0       	9.62, -6.84, -10.98 	133.82, -266.01, -11.93 	0.00, 10.00 	15,3,48,921		inf,inf	0,0 	0
0       	9.66, -6.85, -10.99 	133.94, -266.25, -11.93 	0.00, 10.00 	15,3,48,921		inf,inf	0,0 	0
0       	9.65, -6.84, -10.99 	134.31, -266.93, -11.94 	0.00, 10.00 	15,3,48,921		inf,inf	0,0 	0
0       	9.65, -6.85, -11.01 	134.53, -267.33, -11.93 	0.00, 10.00 	15,3,48,921		inf,inf	0,0 	0
0       	9.66, -6.82, -10.99 	135.30, -268.81, -11.93 	0.00, 10.00 	15,3,48,922		inf,inf	0,0 	0
0       	9.64, -6.83, -11.00 	135.40, -269.00, -11.95 	0.00, 10.00 	15,3,48,922		inf,inf	0,0 	0
0       	9.63, -6.82, -10.99 	136.05, -270.27, -11.94 	0.00, 10.00 	15,3,48,922		inf,inf	0,0 	0
0       	9.66, -6.83, -10.99 	135.82, -269.85, -11.94 	0.00, 10.00 	15,3,48,922		inf,inf	0,0 	0
0       	9.62, -6.79, -10.98 	136.08, -270.38, -11.91 	0.00, 10.00 	15,3,48,922		inf,inf	0,0 	0
0       	9.61, -6.81, -11.01 	136.00, -270.28, -11.90 	0.00, 10.00 	15,3,48,922		inf,inf	0,0 	0
0       	9.63, -6.80, -11.01 	135.99, -270.25, -11.92 	0.00, 10.00 	15,3,48,922		inf,inf	0,0 	0
0       	9.62, -6.85, -11.01 	135.60, -269.48, -11.90 	0.00, 10.00 	15,3,48,922		inf,inf	0,0 	0
0       	9.69, -6.86, -11.02 	135.49, -269.27, -11.89 	0.00, 10.00 	15,3,48,922		inf,inf	0,0 	0
0       	9.67, -6.86, -11.03 	134.97, -268.26, -11.90 	0.00, 10.00 	15,3,48,922		inf,inf	0,0 	0
0       	9.70, -6.88, -11.04 	135.30, -268.84, -11.92 	0.00, 10.00 	15,3,48,922		inf,inf	0,0 	0
0       	9.78, -6.87, -11.05 	134.94, -268.15, -11.92 	0.00, 10.00 	15,3,48,922		inf,inf	0,0 	0
0       	9.73, -6.88, -11.04 	135.24, -268.79, -11.90 	0.00, 10.00 	15,3,48,922		inf,inf	0,0 	0
0       	9.75, -6.86, -11.03 	134.90, -268.19, -11.86 	0.00, 10.00 	15,3,48,922		inf,inf	0,0 	0
0       	9.81, -6.85, -11.05 	135.14, -268.64, -11.87 	0.00, 10.00 	15,3,48,922		inf,inf	0,0 	0
0       	9.75, -6.89, -11.05 	134.76, -267.89, -11.87 	0.00, 10.00 	15,3,48,922		inf,inf	0,0 	0
0       	9.71, -6.92, -11.03 	134.99, -268.32, -11.92 	0.00, 10.00 	15,3,48,922		inf,inf	0,0 	0
