#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	-19.77, 13.67, -6.71 	25.19, 27.24, -8.80 	0.00, 40.00 	14,48,40,943		-nan,inf	0,0 	0
0       	-19.77, 13.67, -6.71 	25.20, 27.23, -8.80 	0.00, 40.00 	14,48,40,943		-nan,inf	0,0 	0
0       	-19.77, 13.67, -6.71 	25.22, 27.24, -8.80 	0.00, 40.00 	14,48,40,943		-nan,inf	0,0 	0
0       	-19.80, 13.68, -6.71 	25.23, 27.25, -8.79 	0.00, 40.00 	14,48,40,944		inf,inf	0,0 	0
0       	-19.77, 13.67, -6.71 	25.24, 27.26, -8.78 	0.00, 40.00 	14,48,40,944		inf,inf	0,0 	0
0       	-19.77, 13.67, -6.71 	25.24, 27.30, -8.78 	0.00, 40.00 	14,48,40,944		-nan,inf	0,0 	0
0       	-19.77, 13.66, -6.71 	25.23, 27.29, -8.77 	0.00, 40.00 	14,48,40,944		inf,inf	0,0 	0
0       	-19.78, 13.66, -6.71 	25.18, 27.28, -8.75 	0.00, 40.00 	14,48,40,944		inf,inf	0,0 	0
0       	-19.77, 13.67, -6.71 	25.14, 27.26, -8.74 	0.00, 40.00 	14,48,40,944		inf,inf	0,0 	0
0       	-19.78, 13.66, -6.71 	25.11, 27.26, -8.73 	0.00, 40.00 	14,48,40,944		inf,inf	0,0 	0
0       	-19.80, 13.67, -6.71 	25.08, 27.23, -8.72 	0.00, 40.00 	14,48,40,944		inf,inf	0,0 	0
0       	-19.80, 13.67, -6.71 	25.09, 27.25, -8.72 	0.00, 40.00 	14,48,40,944		-nan,inf	0,0 	0
0       	-19.80, 13.67, -6.71 	25.12, 27.26, -8.72 	0.00, 40.00 	14,48,40,944		-nan,inf	0,0 	0
0       	-19.80, 13.67, -6.71 	25.15, 27.27, -8.71 	0.00, 40.00 	14,48,40,944		-nan,inf	0,0 	0
0       	-19.80, 13.67, -6.71 	25.15, 27.27, -8.70 	0.00, 40.00 	14,48,40,944		-nan,-nan	0,0 	0
0       	-19.80, 13.67, -6.71 	25.16, 27.28, -8.69 	0.00, 40.00 	14,48,40,944		-nan,inf	0,0 	0
0       	-19.80, 13.67, -6.71 	25.16, 27.31, -8.69 	0.00, 40.00 	14,48,40,944		-nan,inf	0,0 	0
0       	-19.80, 13.67, -6.71 	25.15, 27.31, -8.68 	0.00, 40.00 	14,48,40,944		-nan,inf	0,0 	0
0       	-19.80, 13.67, -6.71 	25.14, 27.31, -8.68 	0.00, 40.00 	14,48,40,945		-nan,inf	0,0 	0
0       	-19.80, 13.67, -6.71 	25.11, 27.31, -8.68 	0.00, 40.00 	14,48,40,945		-nan,inf	0,0 	0
0       	-19.80, 13.67, -6.71 	25.11, 27.32, -8.69 	0.00, 40.00 	14,48,40,945		-nan,inf	0,0 	0
0       	-19.80, 13.67, -6.71 	25.12, 27.33, -8.69 	0.00, 40.00 	14,48,40,945		-nan,inf	0,0 	0
0       	-19.80, 13.68, -6.71 	25.13, 27.34, -8.69 	0.00, 40.00 	14,48,40,945		inf,inf	0,0 	0
