#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	-2.21, 7.95, -7.30 	-0.44, -0.82, -7.75 	0.00, 10.00 	12,31,18,295		inf,inf	0,0 	0
0       	-2.23, 7.94, -7.30 	-0.41, -0.85, -7.73 	0.00, 10.00 	12,31,18,295		inf,inf	0,0 	0
0       	-2.23, 7.94, -7.30 	-0.45, -0.83, -7.74 	0.00, 10.00 	12,31,18,295		-nan,inf	0,0 	0
0       	-2.27, 7.94, -7.30 	-0.42, -0.85, -7.73 	0.00, 10.00 	12,31,18,295		inf,inf	0,0 	0
0       	-2.24, 7.94, -7.33 	-0.41, -0.85, -7.73 	0.00, 10.00 	12,31,18,295		inf,inf	0,0 	0
0       	-2.30, 7.94, -7.33 	-0.37, -0.84, -7.74 	0.00, 10.00 	12,31,18,295		inf,inf	0,0 	0
0       	-2.14, 7.96, -7.33 	-0.31, -0.85, -7.71 	0.00, 10.00 	12,31,18,295		inf,inf	0,0 	0
0       	-2.13, 7.96, -7.33 	-0.38, -0.85, -7.72 	0.00, 10.00 	12,31,18,295		inf,inf	0,0 	0
0       	-2.18, 7.95, -7.31 	-0.34, -0.83, -7.73 	0.00, 10.00 	12,31,18,295		inf,inf	0,0 	0
0       	-2.12, 7.96, -7.30 	-0.36, -0.87, -7.72 	0.00, 10.00 	12,31,18,295		inf,inf	0,0 	0
0       	-2.10, 7.96, -7.30 	-0.40, -0.86, -7.73 	0.00, 10.00 	12,31,18,295		inf,inf	0,0 	0
0       	-2.14, 7.96, -7.31 	-0.39, -0.85, -7.73 	0.00, 10.00 	12,31,18,295		inf,inf	0,0 	0
0       	-2.27, 7.94, -7.30 	-0.36, -0.87, -7.73 	0.00, 10.00 	12,31,18,295		inf,inf	0,0 	0
0       	-2.32, 7.93, -7.30 	-0.39, -0.86, -7.73 	0.00, 10.00 	12,31,18,295		inf,inf	0,0 	0
0       	-2.23, 7.95, -7.33 	-0.40, -0.86, -7.75 	0.00, 10.00 	12,31,18,295		inf,inf	0,0 	0
0       	-2.16, 7.95, -7.33 	-0.41, -0.85, -7.73 	0.00, 10.00 	12,31,18,295		inf,inf	0,0 	0
0       	-2.18, 7.95, -7.36 	-0.41, -0.88, -7.73 	0.00, 10.00 	12,31,18,295		inf,inf	0,0 	0
0       	-2.11, 7.96, -7.34 	-0.39, -0.85, -7.74 	0.00, 10.00 	12,31,18,295		inf,inf	0,0 	0
0       	-2.11, 7.96, -7.34 	-0.40, -0.84, -7.75 	0.00, 10.00 	12,31,18,295		-nan,inf	0,0 	0
0       	-2.15, 7.96, -7.33 	-0.41, -0.85, -7.75 	0.00, 10.00 	12,31,18,295		inf,inf	0,0 	0
0       	-2.16, 7.96, -7.35 	-0.39, -0.82, -7.75 	0.00, 10.00 	12,31,18,295		inf,inf	0,0 	0
0       	-2.17, 7.95, -7.39 	-0.41, -0.84, -7.73 	0.00, 10.00 	12,31,18,296		inf,inf	0,0 	0
0       	-2.21, 7.95, -7.39 	-0.41, -0.84, -7.73 	0.00, 10.00 	12,31,18,296		inf,-nan	0,0 	0
0       	-2.25, 7.94, -7.44 	-0.44, -0.84, -7.72 	0.00, 10.00 	12,31,18,296		inf,inf	0,0 	0
0       	-2.22, 7.95, -7.44 	-0.44, -0.84, -7.72 	0.00, 10.00 	12,31,18,296		inf,-nan	0,0 	0
0       	-2.24, 7.95, -7.39 	-0.40, -0.86, -7.72 	0.00, 10.00 	12,31,18,296		inf,inf	0,0 	0
0       	-2.20, 7.95, -7.39 	-0.35, -0.84, -7.72 	0.00, 10.00 	12,31,18,296		inf,inf	0,0 	0
0       	-2.16, 7.95, -7.42 	-0.37, -0.84, -7.72 	0.00, 10.00 	12,31,18,296		inf,inf	0,0 	0
0       	-2.18, 7.95, -7.37 	-0.38, -0.84, -7.72 	0.00, 10.00 	12,31,18,296		inf,inf	0,0 	0
0       	-2.23, 7.95, -7.36 	-0.38, -0.84, -7.72 	0.00, 10.00 	12,31,18,296		inf,-nan	0,0 	0
0       	-2.23, 7.95, -7.36 	-0.38, -0.85, -7.73 	0.00, 10.00 	12,31,18,296		-nan,inf	0,0 	0
0       	-2.24, 7.94, -7.38 	-0.38, -0.85, -7.73 	0.00, 10.00 	12,31,18,296		inf,-nan	0,0 	0
0       	-2.35, 7.93, -7.36 	-0.38, -0.86, -7.73 	0.00, 10.00 	12,31,18,296		inf,inf	0,0 	0
0       	-2.35, 7.93, -7.35 	-0.38, -0.84, -7.74 	0.00, 10.00 	12,31,18,296		inf,inf	0,0 	0
0       	-2.35, 7.93, -7.35 	-0.38, -0.85, -7.73 	0.00, 10.00 	12,31,18,296		-nan,inf	0,0 	0
0       	-2.27, 7.94, -7.37 	-0.38, -0.86, -7.73 	0.00, 10.00 	12,31,18,296		inf,inf	0,0 	0
0       	-2.15, 7.95, -7.42 	-0.38, -0.84, -7.72 	0.00, 10.00 	12,31,18,296		inf,inf	0,0 	0
0       	-2.16, 7.95, -7.42 	-0.42, -0.85, -7.72 	0.00, 10.00 	12,31,18,296		inf,inf	0,0 	0
0       	-2.12, 7.96, -7.42 	-0.42, -0.85, -7.72 	0.00, 10.00 	12,31,18,296		inf,-nan	0,0 	0
0       	-2.05, 7.97, -7.42 	-0.42, -0.85, -7.72 	0.00, 10.00 	12,31,18,296		inf,-nan	0,0 	0
0       	-2.10, 7.96, -7.41 	-0.40, -0.86, -7.72 	0.00, 10.00 	12,31,18,296		inf,inf	0,0 	0
0       	-2.19, 7.95, -7.36 	-0.40, -0.84, -7.74 	0.00, 10.00 	12,31,18,296		inf,inf	0,0 	0
0       	-2.28, 7.94, -7.37 	-0.40, -0.84, -7.73 	0.00, 10.00 	12,31,18,296		inf,-nan	0,0 	0
0       	-2.28, 7.94, -7.37 	-0.45, -0.83, -7.73 	0.00, 10.00 	12,31,18,296		inf,inf	0,0 	0
0       	-2.32, 7.93, -7.37 	-0.45, -0.84, -7.73 	0.00, 10.00 	12,31,18,297		inf,inf	0,0 	0
0       	-2.28, 7.94, -7.38 	-0.45, -0.84, -7.73 	0.00, 10.00 	12,31,18,297		inf,-nan	0,0 	0
0       	-2.28, 7.94, -7.37 	-0.45, -0.82, -7.75 	0.00, 10.00 	12,31,18,297		inf,inf	0,0 	0
0       	-2.31, 7.94, -7.41 	-0.45, -0.81, -7.75 	0.00, 10.00 	12,31,18,297		inf,inf	0,0 	0
0       	-2.25, 7.94, -7.41 	-0.45, -0.82, -7.75 	0.00, 10.00 	12,31,18,297		inf,inf	0,0 	0
0       	-2.26, 7.94, -7.35 	-0.43, -0.81, -7.75 	0.00, 10.00 	12,31,18,297		inf,inf	0,0 	0
0       	-2.33, 7.93, -7.35 	-0.40, -0.82, -7.75 	0.00, 10.00 	12,31,18,297		inf,inf	0,0 	0
0       	-2.33, 7.93, -7.37 	-0.40, -0.82, -7.75 	0.00, 10.00 	12,31,18,297		inf,-nan	0,0 	0
0       	-2.35, 7.93, -7.34 	-0.41, -0.82, -7.75 	0.00, 10.00 	12,31,18,297		inf,inf	0,0 	0
0       	-2.39, 7.93, -7.33 	-0.45, -0.84, -7.75 	0.00, 10.00 	12,31,18,297		inf,inf	0,0 	0
0       	-2.40, 7.92, -7.33 	-0.45, -0.83, -7.75 	0.00, 10.00 	12,31,18,297		inf,inf	0,0 	0
0       	-2.38, 7.93, -7.37 	-0.45, -0.84, -7.75 	0.00, 10.00 	12,31,18,297		inf,inf	0,0 	0
0       	-2.37, 7.93, -7.37 	-0.40, -0.83, -7.75 	0.00, 10.00 	12,31,18,297		inf,inf	0,0 	0
0       	-2.38, 7.93, -7.42 	-0.40, -0.83, -7.75 	0.00, 10.00 	12,31,18,297		inf,-nan	0,0 	0
0       	-2.33, 7.93, -7.42 	-0.40, -0.83, -7.75 	0.00, 10.00 	12,31,18,297		inf,-nan	0,0 	0
0       	-2.35, 7.93, -7.42 	-0.40, -0.83, -7.75 	0.00, 10.00 	12,31,18,297		inf,-nan	0,0 	0
0       	-2.33, 7.93, -7.42 	-0.45, -0.85, -7.75 	0.00, 10.00 	12,31,18,297		inf,inf	0,0 	0
0       	-2.33, 7.93, -7.40 	-0.48, -0.83, -7.75 	0.00, 10.00 	12,31,18,297		-nan,inf	0,0 	0
0       	-2.44, 7.92, -7.40 	-0.46, -0.84, -7.73 	0.00, 10.00 	12,31,18,297		inf,inf	0,0 	0
0       	-2.45, 7.92, -7.41 	-0.46, -0.84, -7.74 	0.00, 10.00 	12,31,18,297		inf,-nan	0,0 	0
