#Time 	Sensor1         	Sensor2         	Target         
#================================================================

4506    	-0.27, -15.46 	-0.70, -16.17 	0.00, -6.58
4530    	-0.46, -10.26 	-0.70, -16.17 	0.00, -6.58
4546    	-0.46, -10.26 	-1.55, -16.18 	0.00, -6.58
4621    	-0.46, -10.26 	-1.55, -16.18 	0.00, -6.58
4637    	-0.46, -10.26 	-1.55, -16.18 	0.00, -6.58
4653    	-0.46, -10.26 	-1.55, -16.18 	0.00, -6.58
4669    	-0.46, -10.26 	-94.65, 353.33 	0.00, -6.58
4685    	-0.46, -10.26 	-1.55, -16.18 	0.00, -6.58
4762    	-0.46, -10.17 	-1.55, -16.18 	0.00, -6.58
4787    	-0.47, -10.22 	-1.55, -16.22 	0.00, -6.58
4803    	-0.46, -10.22 	-1.54, -16.30 	0.00, -6.58
4819    	-0.48, -10.18 	-1.55, -16.14 	0.00, -6.58
4836    	-0.50, -10.18 	-1.55, -16.14 	0.00, -6.58
4918    	-0.47, -10.25 	-1.55, -16.18 	0.00, -6.58
4935    	-0.46, -10.25 	-1.55, -16.14 	0.00, -6.58
4951    	-0.49, -10.21 	-1.55, -16.14 	0.00, -6.58
4967    	-0.48, -10.21 	-1.55, -16.14 	0.00, -6.58
4983    	-0.48, -10.21 	-0.71, -16.18 	0.00, -6.58
5059    	-0.48, -10.21 	-1.55, -16.18 	0.00, -6.58
5076    	-0.48, -10.21 	-1.55, -16.18 	0.00, -6.58
5092    	-0.48, -10.21 	-0.71, -16.18 	0.00, -6.58
5154    	-0.49, -10.29 	-0.70, -16.22 	0.00, -6.58
5170    	-0.29, -15.42 	-0.71, -16.14 	0.00, -6.58
5186    	-0.27, -15.42 	-0.68, -16.22 	0.00, -6.58
5202    	-0.29, -15.42 	-0.68, -16.26 	0.00, -6.58
5218    	-0.29, -15.42 	-0.69, -16.18 	0.00, -6.58
5295    	-0.27, -15.42 	-1.55, -16.18 	0.00, -6.58
5312    	-0.27, -15.46 	-1.54, -16.29 	0.00, -6.58
5328    	-0.27, -15.46 	-0.69, -16.29 	0.00, -6.58
5345    	-0.27, -15.46 	-0.69, -16.33 	0.00, -6.58
5361    	-0.47, -10.30 	-0.69, -16.29 	0.00, -6.58
5444    	-0.47, -10.30 	-0.69, -16.18 	0.00, -6.58
5460    	-0.47, -10.30 	-0.69, -16.29 	0.00, -6.58
5476    	-0.47, -10.30 	-0.69, -16.18 	0.00, -6.58
5492    	-0.47, -10.30 	-0.69, -16.38 	0.00, -6.58
5568    	-0.47, -10.26 	-0.69, -16.25 	0.00, -6.58
5584    	-0.46, -10.22 	-0.69, -16.21 	0.00, -6.58
5600    	-0.47, -10.22 	-0.68, -16.21 	0.00, -6.58
5616    	-0.46, -10.26 	-0.70, -16.17 	0.00, -6.58
5632    	-0.48, -10.19 	-0.70, -16.17 	0.00, -6.58
5709    	-0.48, -10.26 	-0.69, -16.17 	0.00, -6.58
5737    	-0.46, -10.26 	-0.69, -16.17 	0.00, -6.58
5754    	-0.48, -10.26 	-0.69, -16.17 	0.00, -6.58
5770    	-0.48, -10.26 	-0.69, -16.17 	0.00, -6.58
5786    	-0.29, -15.46 	-0.69, -16.17 	0.00, -6.58
5864    	-0.28, -15.51 	-0.69, -16.17 	0.00, -6.58
5880    	-0.28, -15.51 	-0.69, -16.17 	0.00, -6.58
