#Time 	Sensor1         	Sensor2         	Target         
#================================================================

5045    	0.03, -14.54 	-11.83, -14.61 	0.00, 2.08
5131    	0.03, -14.54 	-11.82, -14.57 	0.00, 2.08
5152    	0.03, -14.54 	-11.83, -14.57 	0.00, 2.08
5168    	0.03, -14.54 	-11.82, -14.57 	0.00, 2.08
5184    	0.03, -14.59 	-11.82, -14.61 	0.00, 2.08
5202    	0.03, -14.54 	-11.83, -14.61 	0.00, 2.08
5218    	0.02, -14.55 	-11.82, -14.68 	0.00, 2.08
5297    	0.02, -14.55 	-11.81, -14.65 	0.00, 2.08
5314    	0.02, -14.51 	-11.81, -14.65 	0.00, 2.08
5330    	0.02, -14.51 	-11.81, -14.69 	0.00, 2.08
5347    	0.02, -14.47 	-11.81, -14.65 	0.00, 2.08
5363    	0.02, -14.47 	-11.81, -14.65 	0.00, 2.08
5446    	0.03, -14.54 	-11.82, -14.61 	0.00, 2.08
5463    	0.03, -14.54 	-11.82, -14.61 	0.00, 2.08
5479    	0.03, -14.54 	-11.82, -14.61 	0.00, 2.08
5496    	0.03, -14.63 	-11.81, -14.69 	0.00, 2.08
5512    	0.02, -14.43 	-11.81, -14.68 	0.00, 2.08
5604    	0.01, -14.55 	-11.81, -14.61 	0.00, 2.08
5625    	0.02, -14.55 	-11.81, -14.65 	0.00, 2.08
5642    	0.02, -14.55 	-11.81, -14.61 	0.00, 2.08
5663    	0.02, -14.52 	-11.81, -14.65 	0.00, 2.08
5679    	0.02, -14.55 	-11.81, -14.65 	0.00, 2.08
5695    	0.02, -14.55 	-11.81, -14.65 	0.00, 2.08
5772    	0.03, -14.52 	-11.81, -14.65 	0.00, 2.08
5789    	0.03, -14.52 	-11.82, -14.69 	0.00, 2.08
5805    	0.03, -14.52 	-11.83, -14.57 	0.00, 2.08
5821    	0.02, -14.52 	-11.83, -14.57 	0.00, 2.08
5837    	0.02, -14.52 	-11.83, -14.61 	0.00, 2.08
5920    	0.01, -14.48 	-11.82, -14.61 	0.00, 2.08
5945    	0.02, -14.52 	-11.83, -14.61 	0.00, 2.08
5961    	0.01, -14.48 	-11.83, -14.61 	0.00, 2.08
5982    	0.01, -14.55 	-11.83, -14.61 	0.00, 2.08
5999    	0.01, -14.56 	-11.83, -14.61 	0.00, 2.08
6076    	0.02, -14.44 	-11.83, -14.60 	0.00, 2.08
