#Time 	Sensor1         	Sensor2         	Target         
#================================================================

3820    	-0.07, -14.54 	-11.76, -14.75 	-9.15, -4.23
3838    	-0.07, -14.53 	-11.76, -14.75 	-9.15, -4.23
3865    	-0.07, -14.53 	-11.77, -14.75 	-9.15, -4.23
3884    	-0.07, -14.53 	-11.76, -14.78 	-9.15, -4.23
3910    	-0.07, -14.53 	-11.77, -14.71 	-9.15, -4.23
3927    	-0.07, -14.53 	-11.77, -14.71 	-9.15, -4.23
3943    	-0.07, -14.53 	-11.77, -14.71 	-9.15, -4.23
4022    	-0.07, -14.53 	-11.76, -14.71 	-9.15, -4.23
4039    	-0.09, -14.57 	-11.77, -14.71 	-9.15, -4.23
4055    	-0.09, -14.57 	-11.76, -14.71 	-9.15, -4.23
4072    	-0.09, -14.57 	-11.76, -14.71 	-9.15, -4.23
4093    	-0.09, -14.57 	-11.76, -14.71 	-9.15, -4.23
4171    	-0.09, -14.58 	-11.76, -14.71 	-9.15, -4.23
4187    	-0.09, -14.58 	-11.75, -14.70 	-9.15, -4.23
4203    	-0.09, -14.58 	-11.77, -14.74 	-9.15, -4.23
4220    	-0.09, -14.58 	-11.77, -14.74 	-9.15, -4.23
4246    	-0.09, -14.57 	-11.77, -14.74 	-9.15, -4.23
4330    	-0.09, -14.57 	-11.76, -14.71 	-9.15, -4.23
4347    	-0.09, -14.53 	-11.76, -14.71 	-9.15, -4.23
4364    	-0.09, -14.57 	-11.76, -14.71 	-9.15, -4.23
4399    	-0.08, -14.61 	-11.76, -14.66 	-9.15, -4.23
4420    	-0.09, -14.58 	-11.76, -14.66 	-9.15, -4.23
4438    	-0.09, -14.58 	-11.76, -14.66 	-9.15, -4.23
4462    	-0.10, -14.50 	-11.78, -14.66 	-9.15, -4.23
4488    	-0.10, -14.50 	-11.76, -14.66 	-9.15, -4.23
4572    	-0.09, -14.53 	-11.77, -14.70 	-9.15, -4.23
4588    	-0.09, -14.53 	-11.77, -14.70 	-9.15, -4.23
4605    	-0.09, -14.53 	-11.77, -14.70 	-9.15, -4.23
4621    	-0.09, -14.53 	-11.76, -14.66 	-9.15, -4.23
4638    	-0.11, -14.49 	-11.76, -14.66 	-9.15, -4.23
4716    	-0.08, -14.81 	-11.79, -14.77 	-9.15, -4.23
4733    	-0.05, -14.79 	-11.76, -14.99 	-9.15, -4.23
4761    	-0.01, -14.86 	-11.75, -15.21 	-9.15, -4.23
4787    	-0.02, -14.92 	-11.77, -15.02 	-9.15, -4.23
4808    	-0.02, -14.91 	-11.77, -15.09 	-9.15, -4.23
4824    	-0.01, -15.03 	-11.78, -15.08 	-9.15, -4.23
4846    	-0.01, -15.03 	-11.80, -15.12 	-9.15, -4.23
4925    	-0.02, -14.90 	-11.81, -14.97 	-9.15, -4.23
4950    	-0.01, -14.86 	-11.80, -14.98 	-9.15, -4.23
4967    	-0.01, -14.87 	-11.80, -14.99 	-9.15, -4.23
4988    	-0.01, -14.87 	-11.81, -14.96 	-9.15, -4.23
5004    	-0.02, -14.79 	-11.80, -14.85 	-9.15, -4.23
5020    	-0.01, -14.83 	-11.81, -14.69 	-9.15, -4.23
5097    	-0.02, -14.80 	-11.82, -14.74 	-9.15, -4.23
