#Time 	Sensor1         	Sensor2         	Target         
#================================================================

3470    	0.01, -14.49 	-11.83, -14.68 	-12.20, -0.55
3551    	0.02, -14.37 	-11.83, -14.73 	-12.20, -0.55
3568    	0.01, -14.45 	-11.82, -14.76 	-12.20, -0.55
3584    	0.01, -14.45 	-11.82, -14.76 	-12.20, -0.55
3600    	0.01, -14.45 	-11.84, -14.76 	-12.20, -0.55
3682    	0.01, -14.32 	-11.82, -14.76 	-12.20, -0.55
3698    	0.01, -14.32 	-11.82, -14.76 	-12.20, -0.55
3715    	0.01, -14.33 	-11.84, -14.76 	-12.20, -0.55
3736    	0.01, -14.33 	-11.82, -14.77 	-12.20, -0.55
3752    	0.01, -14.41 	-11.83, -14.81 	-12.20, -0.55
3768    	0.01, -14.41 	-11.83, -14.76 	-12.20, -0.55
3848    	0.01, -14.41 	-11.82, -14.76 	-12.20, -0.55
3865    	0.00, -14.33 	-11.84, -14.76 	-12.20, -0.55
3881    	0.01, -14.41 	-11.84, -14.76 	-12.20, -0.55
3897    	0.00, -14.32 	-11.84, -14.76 	-12.20, -0.55
3973    	0.01, -14.33 	-11.83, -14.72 	-12.20, -0.55
3989    	0.01, -14.33 	-11.83, -14.72 	-12.20, -0.55
4005    	0.01, -14.29 	-11.82, -14.73 	-12.20, -0.55
4021    	0.00, -14.32 	-11.81, -14.72 	-12.20, -0.55
4037    	0.01, -14.33 	-11.81, -14.77 	-12.20, -0.55
4122    	0.01, -14.33 	-11.82, -14.77 	-12.20, -0.55
4138    	0.00, -14.33 	-11.81, -14.77 	-12.20, -0.55
4154    	0.00, -14.33 	-11.81, -14.73 	-12.20, -0.55
4170    	0.00, -14.33 	-11.81, -14.72 	-12.20, -0.55
4187    	0.00, -14.33 	-11.81, -14.68 	-12.20, -0.55
4268    	0.00, -14.28 	-11.81, -14.68 	-12.20, -0.55
4284    	0.00, -14.28 	-11.81, -14.68 	-12.20, -0.55
4300    	0.00, -14.28 	-11.81, -14.77 	-12.20, -0.55
4316    	0.00, -14.28 	-11.83, -14.77 	-12.20, -0.55
4332    	0.01, -14.28 	-11.83, -14.77 	-12.20, -0.55
4409    	0.01, -14.28 	-11.83, -14.77 	-12.20, -0.55
4426    	0.01, -14.28 	-11.83, -14.77 	-12.20, -0.55
4442    	0.02, -14.40 	-11.83, -14.77 	-12.20, -0.55
4458    	0.02, -14.32 	-11.84, -14.81 	-12.20, -0.55
4542    	0.00, -14.32 	-11.82, -14.76 	-12.20, -0.55
4558    	0.02, -14.28 	-11.83, -14.77 	-12.20, -0.55
