#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	3.00, 0.07, -7.95 	21.37, -23.82, -3.77 	0.00, 10.00 	14,6,21,227		inf,inf	0,0 	0
0       	2.99, 0.08, -7.95 	21.42, -23.81, -3.77 	0.00, 10.00 	14,6,21,227		inf,inf	0,0 	0
0       	3.00, 0.09, -7.96 	21.44, -23.82, -3.77 	0.00, 10.00 	14,6,21,227		inf,inf	0,0 	0
0       	3.03, 0.09, -7.96 	21.47, -23.80, -3.77 	0.00, 10.00 	14,6,21,227		inf,inf	0,0 	0
0       	3.04, 0.09, -7.95 	21.46, -23.83, -3.78 	0.00, 10.00 	14,6,21,227		inf,inf	0,0 	0
0       	3.01, 0.10, -7.97 	21.47, -23.82, -3.79 	0.00, 10.00 	14,6,21,228		inf,inf	0,0 	0
0       	3.02, 0.10, -7.97 	21.46, -23.82, -3.80 	0.00, 10.00 	14,6,21,228		inf,inf	0,0 	0
0       	2.97, 0.06, -7.95 	21.45, -23.84, -3.80 	0.00, 10.00 	14,6,21,228		inf,inf	0,0 	0
0       	2.92, 0.05, -7.95 	21.44, -23.83, -3.80 	0.00, 10.00 	14,6,21,228		inf,inf	0,0 	0
0       	2.89, 0.05, -7.96 	21.42, -23.82, -3.82 	0.00, 10.00 	14,6,21,228		inf,inf	0,0 	0
0       	2.90, 0.05, -7.97 	21.46, -23.83, -3.84 	0.00, 10.00 	14,6,21,228		inf,inf	0,0 	0
0       	2.88, 0.04, -7.97 	21.48, -23.84, -3.84 	0.00, 10.00 	14,6,21,228		inf,inf	0,0 	0
0       	2.89, 0.04, -7.97 	21.49, -23.85, -3.83 	0.00, 10.00 	14,6,21,228		inf,inf	0,0 	0
0       	2.84, 0.03, -7.97 	21.50, -23.84, -3.83 	0.00, 10.00 	14,6,21,228		inf,inf	0,0 	0
0       	2.82, 0.03, -7.98 	21.55, -23.84, -3.85 	0.00, 10.00 	14,6,21,228		inf,inf	0,0 	0
0       	2.77, 0.02, -7.96 	21.62, -23.81, -3.87 	0.00, 10.00 	14,6,21,228		inf,inf	0,0 	0
0       	2.73, -0.00, -7.95 	21.61, -23.82, -3.86 	0.00, 10.00 	14,6,21,228		inf,inf	0,0 	0
0       	2.62, 0.02, -7.96 	21.57, -23.81, -3.90 	0.00, 10.00 	14,6,21,228		inf,inf	0,0 	0
0       	2.47, -0.00, -7.96 	21.54, -23.82, -3.92 	0.00, 10.00 	14,6,21,229		inf,inf	0,0 	0
0       	2.34, -0.04, -7.95 	21.52, -23.82, -3.94 	0.00, 10.00 	14,6,21,229		inf,inf	0,0 	0
0       	2.25, -0.07, -7.94 	21.48, -23.84, -3.97 	0.00, 10.00 	14,6,21,229		inf,inf	0,0 	0
0       	2.17, -0.09, -7.95 	21.47, -23.83, -3.99 	0.00, 10.00 	14,6,21,229		inf,inf	0,0 	0
0       	2.17, -0.11, -7.94 	21.49, -23.83, -3.98 	0.00, 10.00 	14,6,21,229		inf,inf	0,0 	0
0       	2.19, -0.09, -7.93 	21.50, -23.82, -3.98 	0.00, 10.00 	14,6,21,229		inf,inf	0,0 	0
0       	2.22, -0.10, -7.91 	21.59, -23.80, -4.00 	0.00, 10.00 	14,6,21,229		inf,inf	0,0 	0
0       	2.20, -0.08, -7.91 	21.62, -23.77, -4.01 	0.00, 10.00 	14,6,21,229		inf,inf	0,0 	0
0       	2.22, -0.07, -7.91 	21.62, -23.79, -4.01 	0.00, 10.00 	14,6,21,229		inf,inf	0,0 	0
0       	2.18, -0.05, -7.91 	21.63, -23.80, -3.99 	0.00, 10.00 	14,6,21,229		inf,inf	0,0 	0
0       	2.15, -0.05, -7.90 	21.60, -23.81, -4.01 	0.00, 10.00 	14,6,21,229		inf,inf	0,0 	0
0       	2.09, -0.07, -7.91 	21.55, -23.81, -4.01 	0.00, 10.00 	14,6,21,229		inf,inf	0,0 	0
0       	2.05, -0.06, -7.91 	21.52, -23.81, -4.00 	0.00, 10.00 	14,6,21,230		inf,inf	0,0 	0
0       	2.06, -0.06, -7.90 	21.48, -23.82, -4.01 	0.00, 10.00 	14,6,21,230		inf,inf	0,0 	0
0       	2.05, -0.05, -7.89 	21.51, -23.82, -4.03 	0.00, 10.00 	14,6,21,230		inf,inf	0,0 	0
