#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	1.63, -9.00, 2.74 	0.10, 0.76, -6.39 	0.00, 30.00 	11,29,9,939		inf,-nan	0,0 	0
0       	1.65, -8.97, 2.77 	0.14, 0.77, -6.39 	0.00, 30.00 	11,29,9,939		inf,inf	0,0 	0
0       	1.58, -8.96, 2.78 	0.12, 0.75, -6.39 	0.00, 30.00 	11,29,9,939		inf,inf	0,0 	0
0       	1.49, -8.97, 2.78 	0.12, 0.75, -6.39 	0.00, 30.00 	11,29,9,939		inf,-nan	0,0 	0
0       	1.42, -8.96, 2.75 	0.12, 0.76, -6.39 	0.00, 30.00 	11,29,9,940		inf,inf	0,0 	0
0       	1.40, -9.00, 2.74 	0.11, 0.76, -6.39 	0.00, 30.00 	11,29,9,940		inf,inf	0,0 	0
0       	1.44, -9.01, 2.70 	0.12, 0.76, -6.39 	0.00, 30.00 	11,29,9,940		inf,inf	0,0 	0
0       	1.51, -9.05, 2.68 	0.11, 0.76, -6.39 	0.00, 30.00 	11,29,9,940		inf,inf	0,0 	0
0       	1.63, -9.06, 2.68 	0.10, 0.75, -6.39 	0.00, 30.00 	11,29,9,940		inf,inf	0,0 	0
0       	1.77, -9.09, 2.65 	0.10, 0.76, -6.39 	0.00, 30.00 	11,29,9,940		inf,inf	0,0 	0
0       	1.78, -9.12, 2.65 	0.10, 0.76, -6.39 	0.00, 30.00 	11,29,9,940		inf,-nan	0,0 	0
0       	1.77, -9.11, 2.64 	0.10, 0.76, -6.39 	0.00, 30.00 	11,29,9,940		inf,-nan	0,0 	0
0       	1.78, -9.12, 2.65 	0.10, 0.76, -6.39 	0.00, 30.00 	11,29,9,940		inf,-nan	0,0 	0
0       	1.79, -9.09, 2.67 	0.09, 0.75, -6.37 	0.00, 30.00 	11,29,9,940		inf,inf	0,0 	0
0       	1.80, -9.10, 2.67 	0.09, 0.75, -6.38 	0.00, 30.00 	11,29,9,940		inf,-nan	0,0 	0
0       	1.81, -9.09, 2.67 	0.09, 0.75, -6.38 	0.00, 30.00 	11,29,9,940		inf,-nan	0,0 	0
0       	1.75, -9.08, 2.66 	0.10, 0.74, -6.37 	0.00, 30.00 	11,29,9,940		inf,inf	0,0 	0
0       	1.75, -9.09, 2.66 	0.10, 0.72, -6.38 	0.00, 30.00 	11,29,9,940		inf,inf	0,0 	0
0       	1.79, -9.08, 2.65 	0.09, 0.75, -6.40 	0.00, 30.00 	11,29,9,940		inf,inf	0,0 	0
0       	1.82, -9.09, 2.65 	0.09, 0.74, -6.41 	0.00, 30.00 	11,29,9,940		inf,inf	0,0 	0
0       	1.81, -9.10, 2.65 	0.09, 0.77, -6.42 	0.00, 30.00 	11,29,9,941		inf,inf	0,0 	0
0       	1.82, -9.10, 2.67 	0.14, 0.78, -6.43 	0.00, 30.00 	11,29,9,941		inf,inf	0,0 	0
0       	1.83, -9.09, 2.67 	0.13, 0.77, -6.42 	0.00, 30.00 	11,29,9,941		inf,inf	0,0 	0
0       	1.83, -9.08, 2.69 	0.13, 0.76, -6.40 	0.00, 30.00 	11,29,9,941		inf,inf	0,0 	0
0       	1.80, -9.07, 2.69 	0.12, 0.74, -6.39 	0.00, 30.00 	11,29,9,941		inf,inf	0,0 	0
0       	1.80, -9.07, 2.69 	0.12, 0.76, -6.40 	0.00, 30.00 	11,29,9,941		-nan,inf	0,0 	0
0       	1.79, -9.08, 2.67 	0.03, 0.77, -6.40 	0.00, 30.00 	11,29,9,941		inf,inf	0,0 	0
0       	1.80, -9.08, 2.68 	0.02, 0.76, -6.40 	0.00, 30.00 	11,29,9,941		inf,inf	0,0 	0
0       	1.80, -9.09, 2.68 	0.02, 0.77, -6.40 	0.00, 30.00 	11,29,9,941		inf,inf	0,0 	0
0       	1.79, -9.09, 2.66 	0.02, 0.77, -6.39 	0.00, 30.00 	11,29,9,941		inf,-nan	0,0 	0
0       	1.82, -9.10, 2.65 	0.07, 0.78, -6.39 	0.00, 30.00 	11,29,9,941		inf,inf	0,0 	0
