#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	-58.70, 24.15, 0.35 	-1.54, -3.42, -7.79 	0.00, 30.00 	11,43,13,418		inf,inf	0,0 	0
0       	-58.70, 24.16, 0.36 	-1.52, -3.17, -7.77 	0.00, 30.00 	11,43,13,418		inf,inf	0,0 	0
0       	-58.70, 24.14, 0.36 	-1.40, -2.82, -7.78 	0.00, 30.00 	11,43,13,418		inf,inf	0,0 	0
0       	-58.70, 24.16, 0.36 	-1.19, -2.48, -7.75 	0.00, 30.00 	11,43,13,418		inf,inf	0,0 	0
0       	-58.69, 24.15, 0.36 	-0.86, -2.23, -7.72 	0.00, 30.00 	11,43,13,418		inf,inf	0,0 	0
0       	-58.70, 24.15, 0.36 	-0.56, -2.04, -7.71 	0.00, 30.00 	11,43,13,418		inf,inf	0,0 	0
0       	-58.70, 24.12, 0.36 	-0.35, -1.92, -7.68 	0.00, 30.00 	11,43,13,418		inf,inf	0,0 	0
0       	-58.70, 24.14, 0.36 	-0.23, -1.84, -7.63 	0.00, 30.00 	11,43,13,418		inf,inf	0,0 	0
0       	-58.70, 24.12, 0.36 	-0.13, -1.80, -7.57 	0.00, 30.00 	11,43,13,418		inf,inf	0,0 	0
0       	-58.69, 24.15, 0.36 	-0.12, -1.77, -7.51 	0.00, 30.00 	11,43,13,418		inf,inf	0,0 	0
0       	-58.70, 24.11, 0.36 	-0.12, -1.72, -7.45 	0.00, 30.00 	11,43,13,418		inf,inf	0,0 	0
0       	-58.70, 24.14, 0.36 	-0.13, -1.69, -7.37 	0.00, 30.00 	11,43,13,418		inf,inf	0,0 	0
0       	-58.69, 24.13, 0.36 	-0.18, -1.62, -7.30 	0.00, 30.00 	11,43,13,418		inf,inf	0,0 	0
0       	-58.70, 24.14, 0.36 	-0.18, -1.45, -7.26 	0.00, 30.00 	11,43,13,418		inf,inf	0,0 	0
0       	-58.70, 24.12, 0.36 	-0.16, -1.19, -7.25 	0.00, 30.00 	11,43,13,419		inf,inf	0,0 	0
0       	-58.70, 24.12, 0.36 	-0.07, -0.94, -7.22 	0.00, 30.00 	11,43,13,419		-nan,inf	0,0 	0
0       	-58.70, 24.12, 0.36 	-0.00, -0.74, -7.14 	0.00, 30.00 	11,43,13,419		-nan,inf	0,0 	0
0       	-58.70, 24.12, 0.36 	-0.01, -0.62, -7.03 	0.00, 30.00 	11,43,13,419		-nan,inf	0,0 	0
0       	-58.70, 24.12, 0.36 	-0.06, -0.55, -6.90 	0.00, 30.00 	11,43,13,419		-nan,inf	0,0 	0
0       	-58.68, 24.11, 0.35 	-0.18, -0.55, -6.79 	0.00, 30.00 	11,43,13,419		inf,inf	0,0 	0
0       	-58.69, 24.13, 0.34 	-0.30, -0.58, -6.70 	0.00, 30.00 	11,43,13,419		inf,inf	0,0 	0
0       	-58.69, 24.14, 0.35 	-0.45, -0.58, -6.64 	0.00, 30.00 	11,43,13,419		inf,inf	0,0 	0
0       	-58.70, 24.14, 0.36 	-0.48, -0.51, -6.61 	0.00, 30.00 	11,43,13,419		inf,inf	0,0 	0
0       	-58.69, 24.13, 0.36 	-0.40, -0.42, -6.61 	0.00, 30.00 	11,43,13,419		inf,inf	0,0 	0
0       	-58.69, 24.15, 0.36 	-0.29, -0.34, -6.61 	0.00, 30.00 	11,43,13,419		inf,inf	0,0 	0
0       	-58.69, 24.15, 0.36 	-0.24, -0.20, -6.60 	0.00, 30.00 	11,43,13,419		-nan,inf	0,0 	0
0       	-58.69, 24.13, 0.36 	-0.22, -0.04, -6.60 	0.00, 30.00 	11,43,13,419		inf,inf	0,0 	0
0       	-58.70, 24.12, 0.35 	-0.09, 0.11, -6.60 	0.00, 30.00 	11,43,13,419		inf,inf	0,0 	0
0       	-58.70, 24.12, 0.35 	0.12, 0.14, -6.58 	0.00, 30.00 	11,43,13,419		-nan,inf	0,0 	0
0       	-58.70, 24.12, 0.36 	0.15, 0.13, -6.56 	0.00, 30.00 	11,43,13,419		-nan,inf	0,0 	0
0       	-58.70, 24.12, 0.35 	0.07, 0.09, -6.56 	0.00, 30.00 	11,43,13,419		-nan,inf	0,0 	0
