#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	-1.87, -6.72, 5.14 	-2.37, -16.35, -2.35 	0.00, 10.00 	11,32,57,352		inf,inf	0,0 	0
0       	-1.85, -6.70, 5.13 	-2.31, -16.37, -2.31 	0.00, 10.00 	11,32,57,352		inf,inf	0,0 	0
0       	-1.86, -6.72, 5.14 	-2.43, -16.40, -2.22 	0.00, 10.00 	11,32,57,352		inf,inf	0,0 	0
0       	-1.84, -6.70, 5.15 	-2.69, -16.44, -2.10 	0.00, 10.00 	11,32,57,352		inf,inf	0,0 	0
0       	-1.84, -6.70, 5.15 	-3.05, -16.54, -1.96 	0.00, 10.00 	11,32,57,352		-nan,inf	0,0 	0
0       	-1.88, -6.71, 5.15 	-3.42, -16.62, -1.84 	0.00, 10.00 	11,32,57,352		inf,inf	0,0 	0
0       	-1.88, -6.69, 5.14 	-3.56, -16.64, -1.81 	0.00, 10.00 	11,32,57,352		inf,inf	0,0 	0
0       	-1.88, -6.69, 5.15 	-3.55, -16.70, -1.79 	0.00, 10.00 	11,32,57,352		-nan,inf	0,0 	0
0       	-1.88, -6.69, 5.15 	-3.46, -16.70, -1.84 	0.00, 10.00 	11,32,57,352		-nan,inf	0,0 	0
0       	-1.88, -6.69, 5.15 	-3.35, -16.72, -1.87 	0.00, 10.00 	11,32,57,352		-nan,inf	0,0 	0
0       	-1.87, -6.68, 5.14 	-3.28, -16.73, -1.90 	0.00, 10.00 	11,32,57,352		inf,inf	0,0 	0
0       	-1.86, -6.71, 5.14 	-3.20, -16.72, -1.93 	0.00, 10.00 	11,32,57,352		inf,inf	0,0 	0
0       	-1.84, -6.69, 5.13 	-3.17, -16.67, -1.93 	0.00, 10.00 	11,32,57,352		inf,inf	0,0 	0
0       	-1.82, -6.69, 5.13 	-3.15, -16.65, -1.93 	0.00, 10.00 	11,32,57,352		inf,inf	0,0 	0
0       	-1.83, -6.70, 5.13 	-3.16, -16.63, -1.94 	0.00, 10.00 	11,32,57,352		inf,inf	0,0 	0
0       	-1.83, -6.70, 5.13 	-3.26, -16.61, -1.90 	0.00, 10.00 	11,32,57,352		-nan,inf	0,0 	0
0       	-1.83, -6.69, 5.12 	-3.35, -16.63, -1.85 	0.00, 10.00 	11,32,57,352		inf,inf	0,0 	0
0       	-1.86, -6.69, 5.12 	-3.45, -16.65, -1.82 	0.00, 10.00 	11,32,57,352		inf,inf	0,0 	0
0       	-1.86, -6.69, 5.13 	-3.45, -16.66, -1.85 	0.00, 10.00 	11,32,57,352		-nan,inf	0,0 	0
0       	-1.88, -6.70, 5.13 	-3.27, -16.67, -1.90 	0.00, 10.00 	11,32,57,352		inf,inf	0,0 	0
0       	-1.88, -6.71, 5.14 	-3.00, -16.63, -1.99 	0.00, 10.00 	11,32,57,352		inf,inf	0,0 	0
0       	-1.85, -6.71, 5.14 	-2.68, -16.57, -2.06 	0.00, 10.00 	11,32,57,353		inf,inf	0,0 	0
0       	-1.86, -6.73, 5.13 	-2.53, -16.53, -2.05 	0.00, 10.00 	11,32,57,353		inf,inf	0,0 	0
0       	-1.89, -6.74, 5.14 	-2.54, -16.49, -1.98 	0.00, 10.00 	11,32,57,353		inf,inf	0,0 	0
0       	-1.87, -6.75, 5.14 	-2.69, -16.53, -1.86 	0.00, 10.00 	11,32,57,353		inf,inf	0,0 	0
0       	-1.85, -6.73, 5.14 	-2.91, -16.54, -1.78 	0.00, 10.00 	11,32,57,353		inf,inf	0,0 	0
0       	-1.85, -6.73, 5.14 	-3.01, -16.54, -1.71 	0.00, 10.00 	11,32,57,353		-nan,inf	0,0 	0
0       	-1.91, -6.72, 5.14 	-3.08, -16.55, -1.67 	0.00, 10.00 	11,32,57,353		inf,inf	0,0 	0
0       	-1.91, -6.71, 5.14 	-3.13, -16.53, -1.69 	0.00, 10.00 	11,32,57,353		inf,inf	0,0 	0
0       	-1.90, -6.70, 5.14 	-3.13, -16.53, -1.71 	0.00, 10.00 	11,32,57,353		inf,-nan	0,0 	0
0       	-1.91, -6.71, 5.14 	-3.08, -16.54, -1.74 	0.00, 10.00 	11,32,57,353		inf,inf	0,0 	0
0       	-1.91, -6.73, 5.15 	-2.97, -16.54, -1.74 	0.00, 10.00 	11,32,57,353		inf,inf	0,0 	0
0       	-1.86, -6.74, 5.15 	-2.91, -16.52, -1.74 	0.00, 10.00 	11,32,57,353		inf,inf	0,0 	0
0       	-1.87, -6.73, 5.15 	-2.86, -16.46, -1.71 	0.00, 10.00 	11,32,57,353		inf,inf	0,0 	0
0       	-1.85, -6.74, 5.15 	-2.87, -16.42, -1.65 	0.00, 10.00 	11,32,57,353		inf,inf	0,0 	0
0       	-1.86, -6.74, 5.15 	-2.95, -16.39, -1.58 	0.00, 10.00 	11,32,57,353		inf,inf	0,0 	0
0       	-1.85, -6.71, 5.15 	-3.19, -16.39, -1.53 	0.00, 10.00 	11,32,57,353		inf,inf	0,0 	0
0       	-1.86, -6.69, 5.15 	-3.45, -16.41, -1.56 	0.00, 10.00 	11,32,57,353		inf,inf	0,0 	0
0       	-1.86, -6.69, 5.15 	-3.61, -16.38, -1.59 	0.00, 10.00 	11,32,57,353		-nan,inf	0,0 	0
0       	-1.85, -6.70, 5.15 	-3.69, -16.39, -1.62 	0.00, 10.00 	11,32,57,353		inf,inf	0,0 	0
0       	-1.84, -6.70, 5.17 	-3.67, -16.34, -1.65 	0.00, 10.00 	11,32,57,353		inf,inf	0,0 	0
